"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","間違ったパスワードは検証失敗する","password.ts","2026-02-18","passed","2026-02-18","","hashPassword / verifyPassword","",""
"","0","lightテーマでdarkクラスを削除する","theme.ts","2026-02-18","passed","2026-02-18","","applyTheme","",""
"","665","ヘッダーのボタンが表示される","chromium","2026-02-18","passed","2026-02-18","プロンプトCRUD操作","prompt-crud.spec.ts","",""
"","0","light/darkはそのまま返す","theme.ts","2026-02-18","passed","2026-02-18","","getEffectiveTheme","",""
"","0","X-Authorization ヘッダーからもトークンを抽出できる","auth.ts","2026-02-18","passed","2026-02-18","","extractTokenFromRequest","",""
"","200","テーマ切り替えボタンが表示される","ThemeToggle","2026-02-18","passed","2026-02-18","","","",""
"","6","デフォルトでライトモードのタイトルが表示される","ThemeToggle","2026-02-18","passed","2026-02-18","","","",""
"","0","8文字未満のパスワードを拒否する","password.ts","2026-02-18","passed","2026-02-18","","validatePasswordStrength","",""
"","413","未認証状態でダッシュボードにアクセスするとログインページにリダイレクトされる","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","0","数字のみのパスワードを拒否する","password.ts","2026-02-18","passed","2026-02-18","","validatePasswordStrength","",""
"","6","不正なトークンは検証失敗する","auth.ts","2026-02-18","passed","2026-02-18","","generateToken / verifyToken","",""
"","0","未認証の場合、isAuthenticatedがfalseを返す","client.ts","2026-02-18","passed","2026-02-18","","getAuthState","",""
"","931","新しいプロンプトを作成できる","chromium","2026-02-18","passed","2026-02-18","プロンプトCRUD操作","prompt-crud.spec.ts","",""
"","0","短すぎるユーザー名を拒否する","auth.ts","2026-02-18","passed","2026-02-18","","validateUsername","",""
"","0","有効なユーザー名を受け入れる","auth.ts","2026-02-18","passed","2026-02-18","","validateUsername","",""
"","1","systemの場合はシステム設定に従う","theme.ts","2026-02-18","passed","2026-02-18","","getEffectiveTheme","",""
"","2","デフォルトでsystemを返す","theme.ts","2026-02-18","passed","2026-02-18","","getStoredTheme","",""
"","5","有効なトークンを生成し検証できる","auth.ts","2026-02-18","passed","2026-02-18","","generateToken / verifyToken","",""
"","528","正しい認証情報でログインできる","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","502","新規登録後にログインページにリダイレクトされる","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","0","Bearer形式でない場合はnullを返す","auth.ts","2026-02-18","passed","2026-02-18","","extractTokenFromRequest","",""
"","678","プロンプトカードにカテゴリとタグが表示される","chromium","2026-02-18","passed","2026-02-18","プロンプトCRUD操作","prompt-crud.spec.ts","",""
"","495","パスワード不一致で登録バリデーションエラーが表示される","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","190","パスワードをハッシュ化し検証できる","password.ts","2026-02-18","passed","2026-02-18","","hashPassword / verifyPassword","",""
"","0","Authorization ヘッダーからトークンを抽出できる","auth.ts","2026-02-18","passed","2026-02-18","","extractTokenFromRequest","",""
"","1","darkテーマでdarkクラスを追加する","theme.ts","2026-02-18","passed","2026-02-18","","applyTheme","",""
"","5","改竄されたトークンは検証失敗する","auth.ts","2026-02-18","passed","2026-02-18","","generateToken / verifyToken","",""
"","0","不正な文字を含むユーザー名を拒否する","auth.ts","2026-02-18","passed","2026-02-18","","validateUsername","",""
